Name of Periodical,Issues,Primary Language,Time Period (ACP = American Colonial Period; IP = Independent Period; SCP = Spanish Colonial Period)
Adult Education in Action ,"December 1938 (I.6), June 1939 (II.6)",English,ACP
Adult Education in Action ,"February 1951 (IX.1), March 1951 (IX.2), May 1951 (IX.3), July 1951 (IX.4), September 1951 (IX.5), November 1951 (IX.6), January 1950 (VIII.1), May 1950 (VIII.3), September 1950 (VIII.5), November 1950 (VIII.6)",English,IP
American Oldtimer,"October 1935 (II.12), November 1935 (III.1), April 1936 (III.6), January 1940 (VII.3), February 1940 (VII.4), ",English,ACP
Ang Ebangheliko,October 1938 (I.4),Tagalog/Filipino,ACP
Ang Ebangheliko ,September 1938 (I.3),Tagalog/Filipino,ACP
Ang Espiritismo,April 1949,Tagalog/Filipino,IP
Ang Espiritismo,August 1948,Tagalog/Filipino,IP
Ang Espiritismo,June 1948,Tagalog/Filipino,IP
Ang Espiritismo,March 1948,Tagalog/Filipino,IP
Ang Tanglaw,April 8 1905 (XIV),Tagalog/Filipino,ACP
Ang Wika,November 1 1920 (I.2),Tagalog/Filipino,ACP
Ang Wika,November 16 1920 (I.3),Tagalog/Filipino,ACP
Ang Wika,October 16 1921 (II.25),Tagalog/Filipino,ACP
Ang Wika Taon,October 16 1920 (I.1),Tagalog/Filipino,ACP
Ateneo Quarterly,"August 1949 (I.1), October 1949 (I.2), December 1949 (I.3), March 1950 (I.4), August 1950 (II.1), October 1950 (II.2), August 1951 (III.1), October 1951 (III.1)",English,IP
Bangon,February 28 1909 (I.2),Tagalog/Filipino,ACP
Bangon,April 15 1909 (I.5),Tagalog/Filipino,ACP
Bangon,April 30 1909 (I.6),Tagalog/Filipino,ACP
Bangon,May 31 1909 (I.8),Tagalog/Filipino,ACP
Bangon,July 31 1909 (I.12),Tagalog/Filipino,ACP
Bangon,February 15 1909 (I.1),Tagalog/Filipino,ACP
Boletín de la Cámara de Comercio Filipina,April 1905 (II.20),Spanish,ACP
